2018-07-12, 07:48:43, with, /
2018-07-12, 09:36:14, with, /
2018-07-12, 12:23:11, with, /
2018-07-12, 13:27:07, 22.5, 57.0
2018-07-12, 13:27:23, 22.5, 59.2
2018-07-12, 13:27:38, 22.6, 62.9
2018-07-12, 13:27:53, 22.7, 67.0
2018-07-12, 13:28:08, 22.8, 66.2
2018-07-12, 13:28:23, 22.9, 65.9
2018-07-12, 13:28:39, 23.0, 57.7
2018-07-12, 13:28:54, 23.1, 56.3
2018-07-12, 13:29:18, 23.1, 55.9
2018-07-12, 13:29:33, 23.2, 56.1
2018-07-12, 13:29:48, 23.2, 55.1
2018-07-12, 13:30:03, 23.2, 53.9
2018-07-12, 13:30:19, 23.2, 55.2
2018-07-12, 13:30:34, 23.2, 54.6
2018-07-12, 13:30:49, 23.2, 54.6
2018-07-12, 13:31:04, 23.2, 53.7
2018-07-12, 13:31:19, 23.2, 53.8
2018-07-12, 13:31:35, 23.2, 53.7
2018-07-12, 13:31:50, 23.2, 53.6
2018-07-12, 13:32:05, 23.2, 53.9
2018-07-12, 13:32:20, 23.2, 54.0
2018-07-12, 13:32:35, 23.1, 53.6
2018-07-12, 13:32:51, 23.1, 53.7
2018-07-12, 13:33:06, 23.1, 53.8
2018-07-12, 13:33:21, 23.1, 54.8
2018-07-12, 13:33:36, 23.1, 55.2
2018-07-12, 13:33:51, 23.1, 55.0
2018-07-12, 13:34:07, 23.1, 54.5
2018-07-12, 13:34:22, 23.0, 54.4
2018-07-12, 13:34:37, 23.0, 54.3
2018-07-12, 13:34:52, 23.0, 54.2
2018-07-12, 13:35:07, 23.0, 54.0
2018-07-12, 13:35:23, 23.0, 54.2
2018-07-12, 13:35:47, 23.0, 54.1
2018-07-12, 13:36:02, 23.0, 54.0
2018-07-12, 13:36:17, 23.0, 54.3
2018-07-12, 13:36:32, 22.9, 54.3
2018-07-12, 13:36:48, 22.9, 54.2
2018-07-12, 13:37:03, 22.9, 54.2
2018-07-12, 13:37:18, 22.9, 54.6
2018-07-12, 13:37:33, 22.9, 55.8
2018-07-12, 13:37:48, 22.9, 55.2
2018-07-12, 13:38:04, 22.9, 54.8
2018-07-12, 13:38:19, 22.8, 54.7
2018-07-12, 13:38:34, 22.8, 55.1
2018-07-12, 13:38:49, 22.8, 55.8
2018-07-12, 13:39:04, 22.8, 55.3
2018-07-12, 13:39:20, 22.8, 55.4
2018-07-12, 13:39:35, 22.8, 55.3
2018-07-12, 13:39:50, 22.8, 55.2
2018-07-12, 13:40:05, 22.8, 55.6
2018-07-12, 13:40:21, 22.8, 55.3
2018-07-12, 13:40:36, 22.8, 54.8
2018-07-12, 13:40:51, 22.8, 55.1
2018-07-12, 13:41:06, 22.8, 55.3
2018-07-12, 13:41:21, 22.8, 55.4
2018-07-12, 13:41:37, 22.8, 55.4
2018-07-12, 13:41:52, 22.7, 55.5
2018-07-12, 13:42:07, 22.8, 55.7
2018-07-12, 13:42:22, 22.7, 55.3
2018-07-12, 13:42:37, 22.7, 55.2
2018-07-12, 13:42:53, 22.7, 55.9
2018-07-12, 13:43:08, 22.7, 55.7
2018-07-12, 13:43:23, 22.7, 56.0
2018-07-12, 13:43:38, 22.7, 55.9
2018-07-12, 13:44:02, 22.7, 56.1
2018-07-12, 13:44:18, 22.8, 55.8
2018-07-12, 13:44:33, 22.7, 55.5
2018-07-12, 13:44:48, 22.7, 55.5
2018-07-12, 13:45:03, 22.7, 55.5
2018-07-12, 13:45:18, 22.7, 55.7
2018-07-12, 13:45:34, 22.7, 55.8
2018-07-12, 13:45:49, 22.7, 55.7
